STT;Course_ID;Course_Name;Credit;Type;Kind;Spec_Name;Major_Name;Major_Code;Spec_Code
1;SMT1005;Marxist Leninist Philosophy;3;General;Compulsory;;Management Information System;7340405;
2;SMT1006;Political Economics of Marxism – Leninism;2;General;Compulsory;;Management Information System;7340405;
3;SMT1007;Scientific Socialism;2;General;Compulsory;;Management Information System;7340405;
4;SMT1008;History of Vietnamese Communist Party;2;General;Compulsory;;Management Information System;7340405;
5;SMT1004;Ho Chi Minh’s Ideology;2;General;Compulsory;;Management Information System;7340405;
6;LAW1001;General Law;2;General;Compulsory;;Management Information System;7340405;
7;TOU1001;Business Communication;3;General;Compulsory;;Management Information System;7340405;
8;MIS1003;Digital Technology and Artificial Intelligence;3;General;Compulsory;;Management Information System;7340405;
9;MGT1001;Microeconomics;3;General;Compulsory;;Management Information System;7340405;
10;ECO1001;Macroeconomics;3;General;Compulsory;;Management Information System;7340405;
11;MGT1002;Management;3;General;Compulsory;;Management Information System;7340405;
12;ENGELE1;English Elementary 1;3;General;Compulsory;;Management Information System;7340405;
13;ENGELE2;English Elementary 2;4;General;Compulsory;;Management Information System;7340405;
14;ENG2015;English Communication 1;3;General;Compulsory;;Management Information System;7340405;
15;ENG2016;English Communication 2;3;General;Compulsory;;Management Information System;7340405;
16;ENG2017;English Composition B1;2;General;Compulsory;;Management Information System;7340405;
17;ACC1002;Introduction to Accounting;3;Fundamental ;Compulsory;;Management Information System;7340405;
18;MKT2001;Principles of Marketing;3;Fundamental ;Compulsory;;Management Information System;7340405;
19;MIS2002;Management Information Systems;3;Fundamental ;Compulsory;;Management Information System;7340405;
20;STA2002;Statistics for Business and Economics;3;Fundamental ;Compulsory;;Management Information System;7340405;
21;FIN2001;Financial Markets and Institutions;3;Fundamental ;Compulsory;;Management Information System;7340405;
22;MGT2002;Introduction to Business;3;Fundamental ;Compulsory;;Management Information System;7340405;
23;IBS2001;International Business;3;Fundamental ;Compulsory;;Management Information System;7340405;
24;LAW2001;Business Law;3;Fundamental ;Compulsory;;Management Information System;7340405;
25;MIS3001;Basic Programming;3;Major;Compulsory;;Management Information System;7340405;
26;MIS2001;Database;3;Major;Compulsory;;Management Information System;7340405;
27;MIS3002;Computer Networks and Data Communications;3;Major;Compulsory;;Management Information System;7340405;
28;MIS3045;Object Oriented Programming;3;Major;Compulsory;;Management Information System;7340405;
29;MIS3007;Information Systems Analysis and Design;3;Major;Compulsory;;Management Information System;7340405;
30;MIS3006;Data Structures and Algorithms;3;Major;Compulsory;;Management Information System;7340405;
31;MIS3008;Database Management System;3;Major;Compulsory;;Management Information System;7340405;
32;MIS3005;Discrete Mathematics;3;Specialized;Compulsory;Management Information Technology;Management Information System;7340405;734040501
33;MIS3004;IT Project Management;3;Specialized;Compulsory;Management Information Technology;Management Information System;7340405;734040501
34;MIS3021;Software Testing;3;Specialized;Compulsory;Management Information Technology;Management Information System;7340405;734040501
35;MIS3048;Web Design;3;Specialized;Compulsory;Management Information Technology;Management Information System;7340405;734040501
36;MIS3010;Web Programming;3;Specialized;Compulsory;Management Information Technology;Management Information System;7340405;734040501
37;MIS3023;Mobile Application Programming;3;Specialized;Compulsory;Management Information Technology;Management Information System;7340405;734040501
38;MIS2012;Career Internship;3;Specialized;Compulsory;Management Information Technology;Management Information System;7340405;734040501
39;MIS3030;Information System Analysis and Design - Practice;2;Specialized;Elective;Management Information Technology;Management Information System;7340405;734040501
